index,noise,anl,quiet
1,5.0,5.35,4.5
2,4.9,5.45,4.75
3,5.4,5.8,5.05
4,6.0,6.1,5.85
5,5.6,5.9,5.2
6,7.25,7.85,7.45
7,6.5,6.6,6.55
8,4.95,4.95,4.65
9,4.95,5.15,4.95
10,4.8,5.0,4.3
11,4.7,4.6,4.35
12,5.85,6.4,5.8
13,4.5,5.0,4.6
14,3.3,2.95,2.6
15,3.95,4.7,3.65
16,3.95,4.15,3.5
17,4.75,5.15,4.6
18,4.1,4.4,3.6
19,4.35,4.95,4.15
20,4.25,4.5,3.85
21,3.4,3.25,2.8
22,5.25,5.6,4.7
23,4.5,4.45,3.9
24,5.15,5.05,4.45
25,3.8,3.75,3.55
26,5.75,5.95,5.0
27,6.75,7.15,6.15
28,6.6,6.95,6.1
29,5.1,5.1,4.45
30,4.25,4.3,3.9
31,5.65,5.75,4.95
32,5.25,5.3,4.85
33,4.6,4.55,4.1
34,4.0,4.25,3.75
35,3.55,4.0,3.75
36,4.2,4.65,4.05
37,6.1,6.0,5.5
38,2.75,2.5,2.4
39,4.9,4.9,4.45
40,5.05,5.15,4.7
41,5.1,5.25,4.8
42,6.05,6.25,5.75
43,3.05,2.95,2.75
44,4.7,4.6,4.2
45,6.0,6.35,5.9
46,5.15,5.15,4.7
47,6.25,6.85,5.95
48,4.8,4.95,4.3
49,4.45,3.9,4.0
50,6.15,6.15,5.5
51,6.0,5.8,5.45
52,5.9,5.75,5.3
53,4.15,4.7,3.9
54,4.15,4.25,3.75
55,4.25,4.65,4.1
56,3.95,3.95,3.7
57,5.05,5.6,4.35
58,6.05,6.15,5.45
59,4.8,4.65,4.15
60,5.7,5.8,5.0
61,3.75,3.35,3.05
62,5.5,5.5,4.9
63,5.75,6.45,5.5
64,3.9,3.85,3.35
65,4.7,4.6,4.45
66,6.5,6.75,6.1
67,6.35,6.9,6.4
68,6.4,6.55,6.2
69,4.8,5.0,4.4
70,4.35,3.85,3.85
71,4.6,4.75,4.55
72,3.1,2.95,2.95
73,5.3,5.7,4.75
74,3.95,3.75,3.5
75,4.6,4.8,4.1
76,3.8,4.35,3.6
77,4.75,4.8,4.15
78,4.85,4.7,4.25
79,5.6,5.6,5.1
80,6.1,6.1,5.3
81,3.3,3.2,3.15
